epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,721.254,0.9749,0.66503,1.1504,0.80914,0.91607,0.90123,0.62308,1.16445,0.73524,1.31019,0.000537733,0.000537733,0.000537733
65,732.417,0.97247,0.65407,1.13006,0.8642,0.88469,0.92339,0.63341,1.12696,0.69918,1.30696,0.000523586,0.000523586,0.000523586
66,743.486,0.96725,0.64127,1.13581,0.82938,0.89678,0.91204,0.6347,1.15404,0.72869,1.31756,0.000509438,0.000509438,0.000509438
67,754.568,0.95523,0.65096,1.13051,0.84154,0.88945,0.89857,0.63026,1.13639,0.7026,1.29466,0.000495291,0.000495291,0.000495291
68,765.694,0.94613,0.62967,1.1184,0.81285,0.91635,0.89858,0.63325,1.1252,0.70625,1.28082,0.000481144,0.000481144,0.000481144
69,776.847,0.95565,0.64368,1.12728,0.83488,0.9162,0.91284,0.63954,1.16292,0.76156,1.31266,0.000466997,0.000466997,0.000466997
70,787.873,0.95032,0.6448,1.12617,0.8349,0.90981,0.91573,0.6418,1.11392,0.71873,1.28286,0.00045285,0.00045285,0.00045285
71,799.051,0.9662,0.65159,1.12538,0.84094,0.88233,0.91475,0.64293,1.12921,0.72461,1.28635,0.000438703,0.000438703,0.000438703
72,810.246,0.95123,0.63485,1.12831,0.85582,0.86781,0.91351,0.63828,1.15465,0.70822,1.29717,0.000424556,0.000424556,0.000424556
73,821.425,0.9331,0.62856,1.10515,0.8298,0.91297,0.90991,0.62937,1.11607,0.71386,1.29836,0.000410409,0.000410409,0.000410409
74,832.542,0.93359,0.63123,1.10765,0.83797,0.88611,0.91325,0.64047,1.12742,0.70028,1.30273,0.000396262,0.000396262,0.000396262
75,843.604,0.92427,0.6174,1.10706,0.84697,0.88771,0.91196,0.63711,1.11512,0.72531,1.28906,0.000382115,0.000382115,0.000382115
76,854.66,0.93423,0.62793,1.11406,0.79275,0.94851,0.90675,0.63375,1.11273,0.725,1.29833,0.000367967,0.000367967,0.000367967
77,865.793,0.92236,0.61719,1.11001,0.81373,0.92344,0.90412,0.64104,1.14058,0.71228,1.30751,0.00035382,0.00035382,0.00035382
78,876.857,0.93477,0.62938,1.11292,0.83288,0.90689,0.91448,0.63391,1.13009,0.70098,1.30251,0.000339673,0.000339673,0.000339673
79,887.991,0.91609,0.61684,1.10065,0.84014,0.88831,0.91105,0.63347,1.14683,0.72317,1.31072,0.000325526,0.000325526,0.000325526
80,899.168,0.92871,0.62513,1.11385,0.80498,0.92381,0.90933,0.64222,1.12628,0.70863,1.29999,0.000311379,0.000311379,0.000311379
81,910.244,0.91625,0.61184,1.10199,0.81422,0.91748,0.90919,0.63493,1.12028,0.72251,1.29305,0.000297232,0.000297232,0.000297232
82,921.405,0.90558,0.59821,1.09672,0.85942,0.87773,0.91623,0.64023,1.12946,0.70416,1.29755,0.000283085,0.000283085,0.000283085
83,932.539,0.90891,0.60433,1.09583,0.84181,0.89532,0.90868,0.63425,1.13323,0.72359,1.29993,0.000268938,0.000268938,0.000268938
84,943.649,0.90533,0.59568,1.09646,0.80342,0.9182,0.90463,0.63575,1.12667,0.71954,1.30041,0.000254791,0.000254791,0.000254791
85,954.75,0.90615,0.59902,1.09473,0.81095,0.92776,0.90691,0.63985,1.14252,0.71743,1.29181,0.000240644,0.000240644,0.000240644
86,965.839,0.90866,0.5997,1.09604,0.84154,0.90612,0.90519,0.62704,1.1701,0.73175,1.32483,0.000226497,0.000226497,0.000226497
87,976.916,0.89493,0.58711,1.0956,0.83374,0.89102,0.89776,0.63431,1.1319,0.7236,1.29631,0.000212349,0.000212349,0.000212349
88,988.071,0.89702,0.59063,1.08945,0.83901,0.89988,0.9012,0.63902,1.13052,0.7272,1.29546,0.000198202,0.000198202,0.000198202
89,999.412,0.88931,0.58369,1.09134,0.80544,0.92287,0.9006,0.63371,1.14228,0.74143,1.30563,0.000184055,0.000184055,0.000184055
90,1010.44,0.8946,0.58549,1.08748,0.83317,0.90421,0.91431,0.64016,1.13445,0.72486,1.30572,0.000169908,0.000169908,0.000169908
91,1022.8,0.87552,0.55875,1.0965,0.83677,0.89613,0.90459,0.62849,1.14722,0.73081,1.32866,0.000155761,0.000155761,0.000155761
92,1033.73,0.86195,0.53545,1.08959,0.85201,0.88849,0.91152,0.63199,1.14825,0.73556,1.33496,0.000141614,0.000141614,0.000141614
93,1044.59,0.85615,0.53055,1.08525,0.85579,0.89156,0.91645,0.63546,1.13238,0.70776,1.32229,0.000127467,0.000127467,0.000127467
94,1055.44,0.84648,0.52256,1.08208,0.84504,0.88736,0.90927,0.64046,1.1381,0.72892,1.32228,0.00011332,0.00011332,0.00011332
95,1066.27,0.83463,0.51633,1.07417,0.85322,0.89061,0.90729,0.63767,1.13483,0.74198,1.32475,9.91726e-05,9.91726e-05,9.91726e-05
96,1077.15,0.82938,0.51071,1.0673,0.85469,0.89004,0.90886,0.63581,1.13839,0.72525,1.32993,8.50255e-05,8.50255e-05,8.50255e-05
97,1088.07,0.82801,0.50269,1.06695,0.86032,0.89337,0.90721,0.63121,1.14616,0.73301,1.33568,7.08784e-05,7.08784e-05,7.08784e-05
98,1098.97,0.82808,0.50792,1.07024,0.86305,0.89415,0.91345,0.64027,1.13829,0.72462,1.33569,5.67313e-05,5.67313e-05,5.67313e-05
99,1109.8,0.82545,0.50528,1.07059,0.85058,0.90436,0.91167,0.63889,1.13427,0.7266,1.33729,4.25842e-05,4.25842e-05,4.25842e-05
100,1120.77,0.81481,0.49861,1.05954,0.85591,0.90464,0.91424,0.63713,1.14576,0.72016,1.34231,2.84371e-05,2.84371e-05,2.84371e-05
